name, latitude, longitude, rating, num_reviews, neighborhoods
Spagio,39.9842949,-83.0449982,3.5,112, 'Grandview Heights'
Rodizio Grill The Brazilian Steakhouse,39.9682698315,-83.0057339743,3.5,95, 'Arena District'
Pies and Pints,39.9831581,-83.00457,4,16, 'Short North'
Mama's Pasta N Brew,40.1181793,-83.014595,4,11, 'University District'
Mike's Grill,39.9771309,-83.0033722,4,18, 'Short North'
Cafe Napolitana,39.963245,-83.00032,3.5,49, 'Downtown'
Midnight Hookah,39.98629,-83.0042877,4,22, 'Short North
King Avenue Five,39.9910088,-83.0319214,3.5,45, 'Grandview Heights'
Marino's Seafood,39.988796,-83.038773,3.5,42, 'Grandview Heights'
Chocolate Café,39.996241,-83.047353,3.5,53, 'Upper Arlington'
Firdous Express,39.9721718,-83.004158,3.5,33, 'Short North'
Nida's Sushi,39.9721718,-83.004158,3.5,49, 'Short North'
BRAVO! Cucina Italiana,39.996525,-83.026123,3.5,83, 'University District'
Cut N Blow,39.987709,-83.0054703,5,33, 'Short North
J Gumbo's,39.9636002,-82.9998932,3.5,56, 'Downtown'
Wings Over Columbus,40.0064583,-83.045372,4,68, 'University District'
New Harvest Café,40.0176544,-82.9653091,4.5,8, 'Linden'
Apollo's Restaurant & Spirits,39.9982109,-83.0075531,3.5,42, 'University District'
Ravari Room,40.0165291,-83.0120468,3.5,37, 'University District'
OH! Burgers,39.9829903,-82.9596786,4,16, ''
Bodega,39.9836928,-83.0045496,3.5,42, 'Short North
Local Cantina,39.9868393,-83.0450211,3.5,114, 'Grandview Heights'
Greek Street Tavern,40.0198011062,-83.0595588684,4,47, 'Upper Arlington'
Bernard's Tavern,39.9752617,-83.0028915,3,79, 'Short North'
Dempsey's Food & Spirits,39.955055,-82.99881,4,56, 'Downtown'
La Chatelaine,40.0071074814,-83.0516657978,3.5,83, 'Upper Arlington'
The Treebar,39.991867,-83.030617,3.5,23, 'University District'
Ace of Cups,40.0157013,-83.0118408,3.5,28, 'University District'
The Three-Legged Mare,39.969785,-83.004396,3,57, 'Arena District'
Boston Stoker,39.9763996353,-83.0121163901,4.5,11, 'Harrison West'
Village Coney,39.944553,-82.985725,4,37, 'Schumacher Place'
Rubino's Pizza,39.956619,-82.92804,4,97, 'Bexley'
Pita House,39.9712483585,-82.9210676998,4.5,55, 'Eastmoor'
Wall Street Nightclub,39.965229,-83.001923,3.5,21, 'Downtown'
Manifesto Tuscan Grato & Scotch Bar,39.9600792,-82.9996796,3.5,84, 'Downtown'
R Bar Arena,39.9706688,-83.0044174,3.5,52, 'Short North'
The Walrus,39.9564514,-82.9954529,4,24, 'Downtown'
Nongs Hunan Express,39.991829,-83.040154,3.5,42, 'Upper Arlington'
Awol,39.9633251131,-82.9817017168,4,16, 'Olde Towne East'
Akai Hana,40.0508003,-83.0517502,4.5,297, 'Upper Arlington'
Hamptons on King,39.990551,-83.0126572,3.5,36, 'University District'
Island Vibes Restaurant,39.997417,-82.977547,4,14, 'Linden'
Holy Smoke Barbecue,39.9721718,-83.004158,3.5,38, 'Short North'
Brick an American Kitchen,39.9514095,-83.0002245,3.5,38, 'Brewery District'
Pita Pit,40.0028801,-83.008461,3.5,34, 'University District'
North Market,39.9721718,-83.004158,4.5,355, 'Short North'
El Tacoriendo,39.980713,-82.914787,4.5,21, 'Eastmoor'
Columbus Food Adventures,39.9782104,-83.0093384,5,59, 'Victorian Village'
Cup o' Joe,39.9961395,-83.0268936,3.5,43, 'University District'
Axis Nightclub,39.978096,-83.004333,3.5,29, 'Short North'
Grandad's Pizza,39.985119,-83.039116,4,28, 'Grandview Heights'
Hae Paul's,39.960908,-82.996127,4,33, 'Downtown'
Sunny Street Cafe,39.967876,-83.008987,3.5,52, 'Arena District'
Harrison's on Third,39.9837266654,-83.0139351636,3.5,43, 'Harrison West
Crimson Cup Coffee & Tea,40.0545998,-83.0203018,4,85, 'Clintonville'
Bake Me Happy,39.9351069331,-82.9923172295,5,8, 'Merion Village'
Scrambler Marie's,39.9518318,-82.9833527,4,30, 'Schumacher Place'
Black Point,39.9740802552,-83.0029011527,3.5,32, 'Short North'
BD's Mongolian Barbeque,39.968029,-83.0055084,3.5,60, 'Arena District'
Red Chili Asian Kitchen,40.002117854,-83.0082357424,3.5,19, 'University District'
Piada Corporate Headquarters,39.991963,-83.045487,5,5, 'Upper Arlington'
